,ANPP,Stability,Pathogen,SM,TC,SOC,SR,TN,NH4,NO3
4,304.6333334,56.76583585,0.1213683,10.80995,16.74375,9.249482,3.6472222,1.8,6.230077,7.806947
12,324.825,27.75880592,0.1239627,11.74063,14.89375,8.69878,2.3929412,1.6875,6.028673,7.354773
17,310.45,30.34876148,0.1285175,12.81121,14.3875,8.719079,3.4261111,1.5125,6.417195,5.343231
23,266.3083334,19.58112575,0.1331528,10.19361,13.7,7.826246,2.9575294,1.54375,6.67497,7.649388
30,295.8916667,53.41236195,0.1207647,13.93822,13.525,5.667062,3.2263333,1.44375,6.136318,6.161795
34,267.5583333,26.94735856,0.1245952,12.86822,14.6375,7.305305,2.7088235,1.54375,6.450676,6.241543
5,10,49.49026087,0.1206264,16.52473,10.69375,5.079225,1.2016667,1.19375,5.495177,5.309632
11,12,32.11969036,0.1395102,12.74528,12.9375,4.921168,1.0635294,1.41875,5.812416,6.676535
18,10,10.37543441,0.1374773,11.73717,11.1,5.629043,1.4211111,1.24375,4.989174,5.686903
22,13,14.04753295,0.1351304,12.70476,10.6875,6.287214,0.8894118,1.2625,4.693423,6.081314
28,15,35.54143136,0.1372008,13.94728,10.30625,5.543476,1.0966667,1.1875,4.499722,4.3343
36,16,41.75245632,0.1381187,16.32544,11.2875,4.965226,1.1770588,1.28125,4.167269,4.949448
