Type,,ANPP,Stability,Pathogen,SM,TC,SOC,SR,TN,NH4,NO3
Natural grassland,4,0.93586384,1,0.960712357,0.097350864,1,1,1,1,0.822589296,1
Natural grassland,12,1,0.374719144,0.823324755,0.24435171,0.712621359,0.872767549,0.545189546,0.816326531,0.742275096,0.869789817
Natural grassland,17,0.954339713,0.430548701,0.582123301,0.413449753,0.633980583,0.877457366,0.919823676,0.530612245,0.897206645,0.290536585
Natural grassland,23,0.814129543,0.198439571,0.336658935,0,0.527184466,0.671180048,0.749912902,0.581632653,1,0.954628559
Natural grassland,30,0.908097091,0.927711902,0.992676262,0.591460911,0.5,0.172328995,0.847382946,0.418367347,0.785200867,0.52625418
Natural grassland,34,0.818100003,0.357227436,0.789830437,0.422454479,0.672815534,0.550823485,0.659730524,0.581632653,0.910557917,0.549218795
Bare land,5,0,0.843166372,1,1,0.060194175,0.03651699,0.113225659,0.010204082,0.52953203,0.280861257
Bare land,11,0.006352736,0.468723168,0,0.403036114,0.408737864,0,0.063136175,0.37755102,0.656037941,0.674481167
Bare land,18,0,0,0.107653121,0.243805204,0.123300971,0.163545205,0.192797627,0.091836735,0.327752392,0.389502014
Bare land,22,0.009529103,0.079156429,0.231934251,0.396635982,0.059223301,0.315606955,0,0.12244898,0.209815285,0.503078487
Bare land,28,0.015881839,0.542482845,0.122295301,0.592891937,0,0.143776075,0.075151976,0,0.132572823,0
Bare land,36,0.019058207,0.676368838,0.073687499,0.968522157,0.152427184,0.010179021,0.104302674,0.153061224,0,0.177140953
