ID,Number,Treat,SampleType,TimePoint,Year,Richness,Chao1,PD
1,C11L12021A1,11,Bare,T0,2021,3486,4528.535,178.1923
2,C11L12022A1,11,Bare,T1,2022,3632,4578.847662,184.9411
3,C11L12023A1,11,Bare,T2,2023,3414,4555.390203,174.5817
4,C11L12024A1,11,Bare,T3,2024,3392,4649.493031,169.4212
5,C12L12021A1,12,Restoration,T0,2021,3468,4903.332136,176.5174
6,C12L12022A1,12,Restoration,T1,2022,3668,4849.005059,181.1759
7,C12L12023A1,12,Restoration,T2,2023,3662,4891.256281,182.5072
8,C12L12024A1,12,Restoration,T3,2024,3423,4624.327022,171.8038
9,C17L12021A1,17,Restoration,T0,2021,3718,4997.009434,186.7871
10,C17L12022A1,17,Restoration,T1,2022,3592,4672.613527,180.5698
11,C17L12023A1,17,Restoration,T2,2023,3498,4583.067103,174.4085
12,C17L12024A1,17,Restoration,T3,2024,3452,4621.22629,175.0357
13,C18L12021A1,18,Bare,T0,2021,3708,5155.047393,187.1475
14,C18L12022A1,18,Bare,T1,2022,3406,4457.840206,178.0559
15,C18L12023A1,18,Bare,T2,2023,3379,4635.778351,174.9435
16,C18L12024A1,18,Bare,T3,2024,2924,4075.236842,155.671
17,C22L12021A1,22,Bare,T0,2021,3262,4538.994585,166.9695
18,C22L12022A1,22,Bare,T1,2022,3368,4410.561644,169.8961
19,C22L12023A1,22,Bare,T2,2023,2895,4047.436893,153.1721
20,C22L12024A1,22,Bare,T3,2024,3392,4685.709677,172.9737
21,C23L12021A1,23,Restoration,T0,2021,3430,4591.255853,175.8904
22,C23L12022A1,23,Restoration,T1,2022,3660,4712.18601,184.3632
23,C23L12023A1,23,Restoration,T2,2023,3773,4788.012442,186.0604
24,C23L12024A1,23,Restoration,T3,2024,3395,4469.991736,172.9904
25,C28L12021A1,28,Bare,T0,2021,3499,4724.175585,183.1916
26,C28L12022A1,28,Bare,T1,2022,3437,4469.592401,175.3389
27,C28L12023A1,28,Bare,T2,2023,3292,4484.125,170.3829
28,C28L12024A1,28,Bare,T3,2024,3494,4946.27451,178.1739
29,C30L12021A1,30,Restoration,T0,2021,3525,4752.059504,177.379
30,C30L12022A1,30,Restoration,T1,2022,3544,4853.673367,175.9128
31,C30L12023A1,30,Restoration,T2,2023,3664,4867.005008,181.1524
32,C30L12024A1,30,Restoration,T3,2024,3526,4860.115843,176.6156
33,C34L12021A1,34,Restoration,T0,2021,3418,4707.21466,172.4965
34,C34L12022A1,34,Restoration,T1,2022,3714,4990.373534,185.8254
35,C34L12023A1,34,Restoration,T2,2023,3486,4622.617647,177.4541
36,C34L12024A1,34,Restoration,T3,2024,3474,4610.548282,175.5757
37,C36L12021A1,36,Bare,T0,2021,3457,4581.427861,177.5102
38,C36L12022A1,36,Bare,T1,2022,3481,4648,176.1904
39,C36L12023A1,36,Bare,T2,2023,3345,4472,172.7554
40,C36L12024A1,36,Bare,T3,2024,3316,4596.663082,170.0904
41,C4L12021A1,4,Restoration,T0,2021,3528,4587.234528,176.6688
42,C4L12022A1,4,Restoration,T1,2022,3497,4732.070423,176.3467
43,C4L12023A1,4,Restoration,T2,2023,3389,4490.138544,171.8312
44,C4L12024A1,4,Restoration,T3,2024,3500,4832.557461,175.765
45,C5L12021A1,5,Bare,T0,2021,3388,4776.419861,176.3751
46,C5L12022A1,5,Bare,T1,2022,3346,4379.605263,170.4644
47,C5L12023A1,5,Bare,T2,2023,3313,4591.75,169.9776
48,C5L12024A1,5,Bare,T3,2024,3471,4756.069257,176.1672
