ID,Alpha diversity,Network size,avgK,Connectivity,Density,Positive,Negative,Productivity,Community stability,Pathogen control,Carbon stocks and sequestration,Soil nutrient maintenance,Water consevation,Belowground biological activity,Evenness,Multifunctionality_mean,Multifunctionality_Multi threshold,Dispersion
4,3478.5,2164.25,0.665,719,0.000308056,140.25,189,0.93586384,1,0.960712357,1,0.940863099,0.097350864,1,0.9693336,0.881651636,8.882352941,0.1078
12,3555.25,2173.5,0.668,724,0.000308038,133.25,175.75,1,0.374719144,0.823324755,0.792694454,0.809463815,0.24435171,0.545189546,0.9736695,0.700136551,7.235294118,0.1246
17,3565,2168.75,0.661,716,0.000305439,133.5,146.5,0.954339713,0.430548701,0.582123301,0.755718974,0.572785158,0.413449753,0.919823676,0.971925,0.653007857,6.705882353,0.106
23,3564.5,2170,0.641,695,0.000296578,123.5,160.25,0.814129543,0.198439571,0.336658935,0.599182257,0.845420404,0,0.749912902,0.9614627,0.583376668,5.882352941,0.1357
30,3564.75,2165.75,0.661,714,0.000305693,140.75,161.25,0.908097091,0.927711902,0.992676262,0.336164497,0.576607465,0.591460911,0.847382946,0.9645654,0.66694805,6.882352941,0.1325
34,3523,2152.5,0.649,697,0.000302193,91,176.75,0.818100003,0.357227436,0.789830437,0.611819509,0.680469788,0.422454479,0.659730524,0.9846807,0.631239126,6.588235294,0.1228
5,3379.5,1993.25,0.58,578,0.000291728,68.75,64.25,0,0.843166372,1,0.048355582,0.273532456,1,0.113225659,0.7832354,0.387370056,3.705882353,0.1094
11,3481,1992.5,0.58,577,0.000291623,67.25,82.5,0.006352736,0.468723168,0,0.204368932,0.569356709,0.403036114,0.063136175,0.8840645,0.305805618,3.058823529,0.1126
18,3354.25,1975.75,0.573,567,0.000290072,62.25,83,0,0,0.107653121,0.143423088,0.269697047,0.243805204,0.192797627,0.9439034,0.164019327,1.176470588,0.1058
22,3229.25,1972,0.547,541,0.000276982,64.5,57.5,0.009529103,0.079156429,0.231934251,0.187415128,0.278447584,0.396635982,0,0.8683229,0.192742877,1.588235294,0.1173
28,3430.5,1997.75,0.595,594,0.000298088,67.25,85.25,0.015881839,0.542482845,0.122295301,0.071888038,0.044190941,0.592891937,0.075151976,0.7889296,0.16250528,1.294117647,0.1136
36,3399.75,1999.75,0.593,593,0.00029733,64.75,75.75,0.019058207,0.676368838,0.073687499,0.081303103,0.110067393,0.968522157,0.104302674,0.7223852,0.233474776,2.117647059,0.1164
